Категория,Тип,Подтип,Наименование,Примечание,Атрибут,#REF!,Кол-во,Цена аренды $,Мощность,,,,
Видео,Крепление,Рама,Рама для установки экрана,,,VI_FIX_FRM,4,,,Количество,,,
Видео,Крепление,Бабочки,Комплект для крепления экрана на раму,,,VI_FIX_BTN,2,,,,,Всего наименований,478
Кабель,Сигнальный,Прочее,Комплект изеркон 30 шт линк,,,CBL_SIG_OTH,1,,,,,Нет количества,0
Видео,Крепление,Прочее,Комплект Ножки для экрана (Светодиодный пол) 56 штук,,LEGS,VI_FIX_OTH_LEGS,1,,,,,Повтор артикула,0
Видео,Оборудование,Сетевое,Комплект Extender,,Extender,VI_EQP_NET_Extender,1,,,,,Нет типа и подтипа,0
Кабель,Сигнальный,HDMI,Комплект HDMI,,,CBL_SIG_HDMI,1,,,,,Нет атрибута,29
Кабель,Сигнальный,HDMI,Комплект HDMI + 2 сплиттера,,2SPL,CBL_SIG_HDMI_2SPL,1,,,,,Кол-во по категориям,
Видео,Оборудование,Контроллер,Контроллер V1160,,V1160,VI_EQP_CTL_V1160,1,,,,,Видео,28
Видео,Оборудование,Контроллер,Контроллер V760,,V760,VI_EQP_CTL_V760,1,,,,,Кабель,80
Видео,Оборудование,Контроллер,Контроллер V960,,V960,VI_EQP_CTL_V960,2,,,,,Звук,93
Видео,Оборудование,МедиаСервер,Медиасервер S-12400F Resolume 7 (mini),,S-12400F,VI_EQP_MSV_S-12400F,1,,,,,Прочее,8
Видео,Оборудование,МедиаСервер,Медиасервер S-13900K Resolume 7,,S-13900K,VI_EQP_MSV_S-13900K,1,,,,,Сцена,182
Видео,Оборудование,МедиаСервер,Медиасервер S-8700K Resolume 7,,S-8700K,VI_EQP_MSV_S-8700K,1,,,,,Свет,52
Видео,Оборудование,Монитор,Монитор DELL  P2418HT,,P2418HT,VI_EQP_MNR_P2418HT,2,,,,,Связь,3
Видео,Оборудование,Монитор,Монитор LG 22'',,LG 22'',VI_EQP_MNR_LG 22'',1,,,,,Спецэффекты,10
Видео,Оборудование,Монитор,Монитор PHILIPS 24'',,PHILIPS 24'',VI_EQP_MNR_PHILIPS 24'',2,,,,,Электроснабжение,11
